CVE-2003-0727|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-6362|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6366|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6367|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) allowedAction({attacker,remote},inject,{comment}) 
CVE-2007-6368|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6369|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6377|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6387|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6388|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-6391|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6392|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6393|
CVE-2007-6394|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6395|allowedAction({attacker,remote},obtain,{credentials}) 
CVE-2007-6396|allowedAction({attacker,remote},inject,{code,PHP,arbitrary}) 
CVE-2007-6397|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-6398|allowedAction({attacker,remote},bypass,{authentication}) allowedAction({attacker,remote},obtain,{access,limited}) 
CVE-2007-6399|
CVE-2007-6400|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6403|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2007-6404|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6405|
CVE-2007-6414|allowedAction({attacker,remote},bypass,{authentication}) allowedAction({attacker,remote},obtain,{credentials,administrative}) 
CVE-2007-6416|
CVE-2007-6417|allowedAction({local,user},read,{kernel,datum,sensitive}) allowedAction({local,user},cause,{denial,service}) 
CVE-2007-6419|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6420|allowedAction({attacker,remote},gain,{privilege}) 
CVE-2007-6421|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-6422|
CVE-2007-6425|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6427|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-6428|allowedAction({attacker,context-dependent},read,{memory,location,contents,arbitrary}) 
CVE-2007-6429|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-6438|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6439|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6441|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6450|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6451|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6458|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6459|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2007-6462|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6464|
CVE-2007-6466|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6472|
CVE-2007-6473|allowedAction({ftp,remote,server},execute,{code,arbitrary}) 
CVE-2007-6474|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-6475|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6476|allowedAction({attacker,remote},obtain,{information,configuration}) 
CVE-2007-6478|allowedAction({attacker,remote},execute,{code,arbitrary}) allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6479|
CVE-2007-6485|
CVE-2007-6488|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6489|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-6490|allowedAction({attacker,remote},change,{password}) 
CVE-2007-6494|allowedAction({attacker,remote},obtain,{access,login}) 
CVE-2007-6495|allowedAction({authenticate,remote,user},change,{directory,permission}) 
CVE-2007-6496|allowedAction({attacker,remote},register,{user,arbitrary}) 
CVE-2007-6497|allowedAction({attacker,remote},change,{profile,user,arbitrary}) |
CVE-2007-6498|
CVE-2007-6499|
CVE-2007-6500|
CVE-2007-6501|
CVE-2007-6502||
CVE-2007-6503|
CVE-2007-6504|
CVE-2007-6506|
CVE-2007-6508|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6528|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6542|
CVE-2007-6543|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6544|
CVE-2007-6545|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-6547|allowedAction({attacker,context-dependent},change,{password}) 
CVE-2007-6548|allowedAction({administrator,authenticate,remote},inject,{code,PHP,arbitrary}) 
CVE-2007-6550|allowedAction({attacker,remote},conduct,{injection,attack,eval}) allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6551|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6552|
CVE-2007-6553|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6554|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6555|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6556|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6557|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) allowedAction({attacker,remote},execute,{view.php}) allowedAction({attacker,remote},execute,{vector,other,unspecified}) 
CVE-2007-6565|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6566|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6567|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6568|
CVE-2007-6575|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6576|
CVE-2007-6577|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6578|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6579|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6580|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6581|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6582|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6583|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6584|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6585|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6586|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-6589|allowedAction({attacker,remote},conduct,{attack,cross-site,scripting}) 
CVE-2007-6598|
CVE-2007-6600|
CVE-2007-6601|allowedAction({attacker,remote},gain,{privilege}) 
CVE-2007-6602|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6603|
CVE-2007-6604|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6605|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6620|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6621|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6622|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6623|
CVE-2007-6624|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6632|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2007-6637|
CVE-2007-6638|allowedAction({attacker,remote},obtain,{username}) allowedAction({attacker,remote},obtain,{password}) allowedAction({attacker,remote},obtain,{device,name}) allowedAction({attacker,remote},obtain,{IP,address}) 
CVE-2007-6639|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6647|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6648|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-6649|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6650|allowedAction({attacker,remote},upload,{file,arbitrary}) 
CVE-2007-6651|allowedAction({attacker,remote},obtain,{sensitive,information}) 
CVE-2007-6652|allowedAction({attacker,remote},conduct,{injection,code,static,direct,attack}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6653|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-6654|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6655|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-6656|
CVE-2007-6657|
CVE-2007-6658|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6663|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6664|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6665|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6666|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6667|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-6681|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6682|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6683|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2007-6684|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-6694|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-6698|
CVE-2007-6702|allowedAction({attacker,remote},obtain,{password}) 
CVE-2007-6712|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-6716|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-6717|allowedAction({local,user},gain,{privilege}) 
CVE-2007-6725|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-6750|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-0001|allowedAction({local,user},bypass,{intended,permission}) allowedAction({local,user},remove,{directory}) 
CVE-2008-0003|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0005|allowedAction({attacker,remote},conduct,{attack,scripting,cross-site}) 
CVE-2008-0006|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2008-0007|
CVE-2008-0010|
CVE-2008-0011|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0015|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0016|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0017|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0020|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0047|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0053|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0062|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0063|
CVE-2008-0069|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2008-0071|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-0072|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0074|allowedAction({local,user},gain,{privilege}) 
CVE-2008-0075|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0076|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0077|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0078|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0080|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0081|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2008-0082|allowedAction({attacker,remote},control,{application,Messenger}) allowedAction({attacker,remote},change,{state}) allowedAction({attacker,remote},establish,{connection,audio,video}) 
CVE-2008-0083|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0084|allowedAction({dhcp,remote,server},cause,{denial,service}) 
CVE-2008-0085|allowedAction({operator,database},obtain,{sensitive,information}) 
CVE-2008-0086|
CVE-2008-0087|allowedAction({attacker,remote},spoof,{response,dns}) 
CVE-2008-0088|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-0089|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0090|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-0091|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0099|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0102|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0103|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0104|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0105|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0106|
CVE-2008-0107|
CVE-2008-0108|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0109|
CVE-2008-0110|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2008-0111|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2008-0112|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2008-0113|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2008-0114|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2008-0115|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2008-0116|
CVE-2008-0117|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2008-0118|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2008-0119|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0120|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0121|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0122|allowedAction({attacker,context-dependent},cause,{denial,service}) allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2008-0127|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0129|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0133|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0137|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0138|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0140|
CVE-2008-0142|
CVE-2008-0143|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0144|
CVE-2008-0147|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0154|allowedAction({attacker,remote},execute,{arbitrary,sql}) 
CVE-2008-0155|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-0157|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0158|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0159|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0177|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-0185|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0186|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-0187|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0210|allowedAction({attacker,remote},bypass,{authentication}) 
CVE-2008-0219|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0220|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0221|allowedAction({attacker,remote},execute,{program,arbitrary}) 
CVE-2008-0222|allowedAction({attacker,remote},upload,{code,PHP,arbitrary}) 
CVE-2008-0230|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0231|allowedAction({attacker,remote},include,{file,arbitrary}) 
CVE-2008-0232|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0233|allowedAction({attacker,remote},bypass,{access,restriction,intended}) allowedAction({attacker,remote},bypass,{upload}) allowedAction({attacker,remote},execute,{file,arbitrary}) 
CVE-2008-0234|
CVE-2008-0235|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0236|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2008-0237|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2008-0242|
CVE-2008-0244|
CVE-2008-0245|allowedAction({attacker,remote},gain,{privilege,administrator}) allowedAction({attacker,remote},gain,{action}) 
CVE-2008-0246|allowedAction({attacker,remote},gain,{privilege,administrator}) allowedAction({attacker,remote},gain,{action}) 
CVE-2008-0248|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0250|allowedAction({attacker,user-assisted},execute,{code,arbitrary}) 
CVE-2008-0253|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0254|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0255|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0256|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) allowedAction({attacker,remote},execute,{thumbricerca.asp}) 
CVE-2008-0259|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0260|allowedAction({attacker,remote},obtain,{information,configuration}) 
CVE-2008-0262|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0269|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-0270|
CVE-2008-0278|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0279|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0280|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0282|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0283|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0287|
CVE-2008-0288|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0290|
CVE-2008-0291|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0295|allowedAction({user-assisted,remote,attacker},cause,{denial,service}) allowedAction({user-assisted,remote,attacker},execute,{datum,arbitrary}) 
CVE-2008-0296|allowedAction({rtsp,remote,server},cause,{denial,service}) allowedAction({rtsp,remote,server},execute,{code,arbitrary}) 
CVE-2008-0297|allowedAction({attacker,remote},obtain,{credentials,database}) 
CVE-2008-0300|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0301|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0304|allowedAction({attacker,remote},execute,{code,related,arbitrary}) 
CVE-2008-0310|
CVE-2008-0320|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0324|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-0325|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0326|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0327|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0328|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0329|allowedAction({attacker,remote},accept,{comment}) 
CVE-2008-0332|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0333|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0337|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0338|allowedAction({attacker,remote},read,{file,arbitrary}) allowedAction({attacker,remote},read,{directory,arbitrary}) 
CVE-2008-0350|allowedAction({attacker,remote},gain,{privilege,administrative}) allowedAction({attacker,remote},make,{configuration,change,arbitrary}) 
CVE-2008-0351|allowedAction({attacker,remote},bypass,{test,CAPTCHA}) 
CVE-2008-0352|
CVE-2008-0353|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0355|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0357|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0358|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0361|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0371||allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0376|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0379|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0380|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0382|
CVE-2008-0384|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-0388|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0390|allowedAction({attacker,remote},inject,{code,PHP,arbitrary}) 
CVE-2008-0391|allowedAction({attacker,remote},add,{account,user,arbitrary}) 
CVE-2008-0392|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2008-0393|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0394|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0397|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0398|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-0399|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0403|allowedAction({attacker,remote},read,{configuration}) 
CVE-2008-0411|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0412|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},trigger,{corruption,memory}) 
CVE-2008-0413|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},trigger,{corruption,memory}) allowedAction({attacker,remote},trigger,{listener,certain,use,mousedown,event}) allowedAction({attacker,remote},trigger,{vector,other}) 
CVE-2008-0415|allowedAction({attacker,remote},execute,{sandbox,script}) allowedAction({attacker,remote},conduct,{attack,cross-site,scripting}) 
CVE-2008-0417|
CVE-2008-0418|allowedAction({attacker,remote},read,{Javascript}) allowedAction({attacker,remote},read,{image}) allowedAction({attacker,remote},read,{stylesheet,file}) 
CVE-2008-0419|allowedAction({attacker,remote},steal,{navigation,history}) 
CVE-2008-0420|
CVE-2008-0421|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0422|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0423|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0424|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0425|allowedAction({attacker,remote},read,{file,arbitrary}) allowedAction({attacker,remote},read,{directory,arbitrary}) 
CVE-2008-0427|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0428|
CVE-2008-0429|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0430|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0431|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0434|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0435|allowedAction({attacker,remote},read,{portion,file,arbitrary}) 
CVE-2008-0437|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0443|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0446|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0447|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0452|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0453|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0457|allowedAction({attacker,remote},upload,{JSP,file,arbitrary}) 
CVE-2008-0458|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0459|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0461|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0464|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0465|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0466|
CVE-2008-0468|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0469|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0470|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2008-0473|
CVE-2008-0477|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0478|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0479|
CVE-2008-0480|
CVE-2008-0481|
CVE-2008-0490|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0491|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0492|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0493|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-0498|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0501|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0502|
CVE-2008-0503|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-0506|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2008-0507|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0509|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-0510|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0511|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0512|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0513|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0514|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0515|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0517|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0518|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0519|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-0520|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0521|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0538|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) allowedAction({attacker,remote},execute,{the}) allowedAction({attacker,remote},execute,{vector,other,unspecified}) 
CVE-2008-0541|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-0542|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-0545|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-0546|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-0547|allowedAction({attacker,remote},inject,{web,arbitrary,script}) 
